NAME,DATE,AWND,PRCP,TMAX,TMIN
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-05-2006,6.71,0.01,79,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-05-2006,11.18,1.14,71,47
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-05-2006,8.72,0,59,45
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-05-2006,6.49,0,66,47
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-05-2006,7.16,0.29,70,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-05-2006,6.26,0.48,53,47
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-05-2006,9.4,0.27,54,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-05-2006,9.84,0.18,63,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-05-2006,11.86,0.37,61,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-05-2006,7.61,0.23,51,43
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-05-2006,7.61,0,62,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-05-2006,11.86,0.04,61,44
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-05-2006,8.05,0,62,40
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-05-2006,6.71,0,65,36
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-05-2006,6.26,0,73,40
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-05-2006,7.38,0.06,74,54
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-05-2006,9.17,0.25,71,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-05-2006,5.59,0,78,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-05-2006,2.24,0,85,57
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-05-2006,2.91,0,88,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-05-2006,4.25,0,89,64
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",31-05-2006,6.04,0,89,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-06-2006,5.37,0.18,80,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-06-2006,6.04,1.22,69,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-06-2006,7.61,0.11,70,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-06-2006,6.04,0.23,62,52
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-06-2006,7.61,0,76,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-06-2006,3.36,0.04,79,52
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-06-2006,6.49,0,81,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-06-2006,5.37,0.05,79,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-06-2006,8.95,0,75,54
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-06-2006,8.72,0,67,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-06-2006,6.26,0,68,47
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-06-2006,4.92,0,67,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-06-2006,3.58,0.03,76,52
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-06-2006,6.71,0,76,57
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-06-2006,5.82,0,78,55
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-06-2006,3.13,0,81,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-06-2006,6.71,0,87,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-06-2006,9.17,0,89,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-06-2006,7.83,0.78,82,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-06-2006,7.16,0,79,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-06-2006,6.04,0,78,57
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-06-2006,9.84,0.63,86,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-06-2006,2.24,0.21,69,64
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-06-2006,3.36,0,81,64
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-06-2006,2.46,0.07,72,64
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-06-2006,3.36,0.03,78,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-06-2006,5.82,0.94,71,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-06-2006,8.05,0.08,82,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-06-2006,7.61,0.22,74,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-06-2006,7.16,0,78,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-07-2006,8.95,0,82,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-07-2006,10.29,0.32,87,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-07-2006,8.95,0.05,82,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-07-2006,9.17,0.38,76,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-07-2006,6.71,1.04,78,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-07-2006,6.71,0,72,54
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-07-2006,2.46,0,76,54
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-07-2006,2.24,0,79,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-07-2006,5.82,0,78,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-07-2006,8.72,0,80,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-07-2006,7.38,0.03,85,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-07-2006,9.17,0.89,80,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-07-2006,6.04,0.01,82,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-07-2006,4.92,0,85,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-07-2006,8.28,0,84,71
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-07-2006,4.47,0,90,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-07-2006,6.49,0,91,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-07-2006,5.59,0,86,71
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-07-2006,3.36,0,88,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-07-2006,6.71,0,89,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-07-2006,4.7,0,84,71
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-07-2006,7.61,0.18,74,64
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-07-2006,3.58,0,78,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-07-2006,6.71,0,82,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-07-2006,5.82,0,86,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-07-2006,7.61,0,86,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-07-2006,9.17,0.07,82,73
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-07-2006,11.41,0.77,82,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-07-2006,7.16,0,83,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-07-2006,7.83,1.95,84,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",31-07-2006,7.61,0,89,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-08-2006,8.05,0,91,72
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-08-2006,9.4,0,91,74
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-08-2006,9.17,0.1,91,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-08-2006,6.71,0,82,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-08-2006,3.58,0,84,64
