NAME,DATE,AWND,PRCP,TMAX,TMIN
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-06-2016,5.82,0.06,81,64
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-06-2016,3.8,0,83,64
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-06-2016,6.26,0,83,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-06-2016,10.29,0,87,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-06-2016,6.71,0,83,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-06-2016,8.72,0,80,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-06-2016,4.47,0.55,71,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-06-2016,3.13,0,80,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-06-2016,4.7,0,85,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-06-2016,6.71,0,87,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-06-2016,6.71,0,87,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-06-2016,7.38,0,81,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-06-2016,4.47,0,73,55
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-06-2016,4.03,0,79,55
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-07-2016,8.95,0,81,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-07-2016,4.03,0,72,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-07-2016,2.68,0,74,57
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-07-2016,5.59,0.19,76,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-07-2016,6.26,0.17,84,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-07-2016,8.28,0.29,86,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-07-2016,8.95,0.72,83,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-07-2016,10.51,0,84,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-07-2016,10.51,0,81,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-07-2016,5.37,0,82,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-07-2016,3.8,0,86,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-07-2016,6.49,0,89,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-07-2016,8.28,0,87,72
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-07-2016,10.07,0.23,88,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-07-2016,9.62,0,85,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-07-2016,5.37,0,84,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-07-2016,6.71,0,86,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-07-2016,8.95,0.04,88,70
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-07-2016,5.14,0,87,68
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-07-2016,3.58,0,85,62
